Journal,SJR_2024
Biological Psychiatry: Cognitive Neuroscience and Neuroimaging,2.124
Journal of Affective Disorders,2.121
Critical Care Medicine,2.12
European Journal of Preventive Cardiology,2.119
Hepatology Communications,2.114
American Journal of Clinical Nutrition,2.111
American Journal of Ophthalmology,2.103
Social Science and Medicine,2.103
Communications Medicine,2.098
Reviews in Medical Virology,2.091
American Journal of Preventive Medicine,2.078
International Journal of Surgery,2.076
Journal of Experimental Psychology: General,2.076
Journal of Vascular Surgery,2.075
Journal of Bone and Mineral Research,2.074
Communications Biology,2.071
Journal of Headache and Pain,2.066
Free Radical Biology and Medicine,2.065
Neurotherapeutics,2.063
Particle and Fibre Toxicology,2.062
Survey of Ophthalmology,2.059
International Journal of Radiation Oncology Biology Physics,2.058
npj Regenerative Medicine,2.058
Epidemiologic Reviews,2.053
Cell Proliferation,2.048
American Journal of Epidemiology,2.046
Journal of Infection,2.046
Journal of Abnormal Psychology,2.044
European Heart Journal - Cardiovascular Pharmacotherapy,2.043
npj Aging,2.043
American Heart Journal,2.039
Journal of the American Medical Informatics Association,2.039
Journal of Infectious Diseases,2.038
Resuscitation,2.032
Fertility and Sterility,2.028
Stem Cell Research and Therapy,2.021
Translational Research,2.021
Gastrointestinal Endoscopy,2.018
Pain,2.017
Behaviour Research and Therapy,2.009
British Medical Bulletin,2.008
Accident Analysis and Prevention,2.007
Acta Biomaterialia,2.007
Best Practice and Research: Clinical Endocrinology and Metabolism,2.007
Biosensors and Bioelectronics,2.007
Depression and Anxiety,2.007
Journal of Cardiovascular Computed Tomography,2.002
American Journal of Preventive Cardiology,2.001
Liver International,2.001
Mayo Clinic Proceedings,2.001
BMJ Quality and Safety,1.997
Journal of Obesity and Metabolic Syndrome,1.997
Journal of Translational Medicine,1.997
Journals of Gerontology - Series B Psychological Sciences and Social Sciences,1.995
Journal of Environmental Management,1.994
Age and Ageing,1.993
Journal of General Internal Medicine,1.992
Journal of Medical Internet Research,1.992
European Psychiatry,1.989
Emotion,1.986
Hepatology International,1.986
Ophthalmology Retina,1.982
Journal of Cerebral Blood Flow and Metabolism,1.969
Obstetrics and Gynecology,1.967
Prostate Cancer and Prostatic Diseases,1.962
Brain Pathology,1.958
Molecular Oncology,1.957
United European Gastroenterology Journal,1.956
Spine Journal,1.954
Food Chemistry,1.952
Antioxidants and Redox Signaling,1.951
Journal of Arthroplasty,1.951
"Knee Surgery, Sports Traumatology, Arthroscopy",1.95
Thyroid,1.95
Molecular and Cellular Proteomics,1.948
Anesthesiology,1.946
PLoS Genetics,1.945
Proceedings of the Nutrition Society,1.942
Frontiers in Immunology,1.941
Cancer Epidemiology Biomarkers and Prevention,1.939
Multiple Sclerosis Journal,1.938
Stroke and Vascular Neurology,1.935
European Neuropsychopharmacology,1.934
Journal of Thoracic and Cardiovascular Surgery,1.932
Clinical and Experimental Ophthalmology,1.931
Fluids and Barriers of the CNS,1.931
American Journal of Public Health,1.93
Heart Rhythm,1.929
Journal of Clinical Immunology,1.928
Circulation: Genomic and Precision Medicine,1.924
ACS Applied Materials and Interfaces,1.921
International Journal of Stroke,1.917
Skeletal Muscle,1.914
Ophthalmology Science,1.91
Chemosphere,1.896
Biomaterials Research,1.895
Knee Surgery and Related Research,1.891
Journal of the American Geriatrics Society,1.889
Tumour Virus Research,1.889
Social Psychiatry and Psychiatric Epidemiology,1.887
CNS Drugs,1.884
JMIR Mental Health,1.882
Gynecologic Oncology,1.881
Human Genetics and Genomics Advances,1.88
PharmacoEconomics,1.88
Emerging Infectious Diseases,1.879
Journal of Clinical Microbiology,1.878
Engineered Regeneration,1.874
Seminars in Arthritis and Rheumatism,1.874
Journal of Thrombosis and Haemostasis,1.872
Reviews of Environmental Contamination and Toxicology,1.869
Critical Reviews in Biotechnology,1.868
Ambio,1.862
Brain Communications,1.86
European Journal of Immunology,1.86
European Urology Focus,1.86
Nutrition Reviews,1.859
Journal of Adolescent Health,1.857
Value in Health,1.856
American Journal of Respiratory Cell and Molecular Biology,1.841
Diagnostic and Interventional Imaging,1.838
HemaSphere,1.835
Chest,1.834
Clinical Science,1.834
Journal of Allergy and Clinical Immunology: In Practice,1.834
Clinical Epigenetics,1.833
Human Mutation,1.832
Epidemiology,1.831
PLOS Digital Health,1.831
Psychiatry and Clinical Neurosciences,1.826
Obesity,1.825
Ultrasonics Sonochemistry,1.823
Environmental Research,1.822
Gerontologist,1.822
Critical Reviews in Oncology/Hematology,1.82
Ocular Surface,1.82
Critical Reviews in Microbiology,1.816
Progress in Cardiovascular Diseases,1.815
European Journal of Endocrinology,1.81
Burns and Trauma,1.809
Current Rheumatology Reports,1.809
SSM - Population Health,1.808
British Journal of Ophthalmology,1.806
"Personality Disorders: Theory, Research, and Treatment",1.806
Influenza and other Respiratory Viruses,1.805
BMJ Evidence-Based Medicine,1.8
Health Services Research,1.796
Infectious Disease Clinics of North America,1.796
Sleep,1.796
Preventive Medicine,1.793
Diabetes/Metabolism Research and Reviews,1.792
Bulletin of the World Health Organization,1.79
JMIR mHealth and uHealth,1.787
BJOG: An International Journal of Obstetrics and Gynaecology,1.786
Current Addiction Reports,1.784
Heart,1.781
Inflammatory Bowel Diseases,1.78
Journal of Molecular and Cellular Cardiology,1.779
EFORT Open Reviews,1.776
Journal of Epidemiology and Community Health,1.776
Biomedicine and Pharmacotherapy,1.775
Journal of Cystic Fibrosis,1.772
Preventing Chronic Disease,1.77
Journal of the International AIDS Society,1.769
General Psychiatry,1.766
Atherosclerosis,1.762
Wiley Interdisciplinary Reviews: Cognitive Science,1.76
Comprehensive Physiology,1.759
Immunology,1.756
JBJS Open Access,1.756
Advances in Wound Care,1.754
Lung Cancer,1.752
Molecular Medicine,1.752
Neuroscience of Consciousness,1.75
Current Oncology Reports,1.748
Molecular Cancer Research,1.748
JACC: Asia,1.744
Journal of Parkinson's Disease,1.743
Journal of Shoulder and Elbow Surgery,1.741
Endocrinology and Metabolism Clinics of North America,1.739
Radiotherapy and Oncology,1.738
Journal of Counseling Psychology,1.734
BMJ Oncology,1.731
Journal of Cardiovascular Magnetic Resonance,1.728
Inflammation and Regeneration,1.726
Rheumatology,1.721
Current Opinion in Environmental Science and Health,1.719
Comprehensive Psychiatry,1.718
European Journal of Psychotraumatology,1.718
"Cancer Immunology, Immunotherapy",1.716
Molecular Therapy Oncology,1.716
Journal of the Royal Society of Medicine,1.714
Australian and New Zealand Journal of Psychiatry,1.713
NAR Cancer,1.712
Bone Marrow Transplantation,1.709
Current Atherosclerosis Reports,1.708
Journal of Psychopharmacology,1.708
International Journal for Equity in Health,1.707
Current Opinion in Rheumatology,1.704
Perspectives on Sexual and Reproductive Health,1.704
International Journal of Eating Disorders,1.703
Nucleus,1.702
Stanford Law Review,1.698
Globalization and Health,1.697
Critical Reviews in Clinical Laboratory Sciences,1.695
Current Neurology and Neuroscience Reports,1.694
Phytomedicine,1.694
International Immunology,1.692
Science and Medicine in Football,1.691
The Lancet Regional Health - Southeast Asia,1.691
"Alzheimer's and Dementia: Diagnosis, Assessment and Disease Monitoring",1.69
British Journal of Surgery,1.69
Circulation: Cardiovascular Imaging,1.69
Journal of Neurology,1.687
RMD Open,1.685
American Journal of Surgical Pathology,1.684
Sports Medicine - Open,1.683
Annals of Clinical and Translational Neurology,1.681
WIREs Mechanisms of Disease,1.681
Current Reviews in Musculoskeletal Medicine,1.68
Nephrology Dialysis Transplantation,1.68
CNS Neuroscience and Therapeutics,1.676
Eye and Vision,1.676
Journal of the American Society of Echocardiography,1.676
Dermatology and Therapy,1.675
Endocrine-Related Cancer,1.674
Journal of Environmental Sciences (China),1.673
Oxidative Medicine and Cellular Longevity,1.673
Genes and Immunity,1.672
Molecular Autism,1.671
BMC Medical Research Methodology,1.669
Psychological Assessment,1.669
Journal of Bone and Joint Surgery,1.666
Wiley Interdisciplinary Reviews: Nanomedicine and Nanobiotechnology,1.666
Current HIV/AIDS Reports,1.663
Cancer Science,1.661
Journal of Investigative Dermatology,1.659
Current Hypertension Reports,1.658
Drug and Alcohol Dependence,1.657
Journal of Urban Health,1.653
Annals of the American Thoracic Society,1.652
Photoacoustics,1.651
IEEE Journal of Biomedical and Health Informatics,1.649
Diabetes and Metabolism,1.648
Neuroscientist,1.648
British Journal of Haematology,1.647
Journal of Lipid and Atherosclerosis,1.647
Genes and Diseases,1.646
Biology of Sport,1.645
Targeted Oncology,1.645
Pigment Cell and Melanoma Research,1.643
Clinical Epidemiology,1.641
Journal of Orthopaedic Translation,1.641
Addictive Behaviors,1.638
Journal of NeuroInterventional Surgery,1.634
Digestive Endoscopy,1.63
Biofabrication,1.628
Allergology International,1.627
Cochrane Database of Systematic Reviews,1.623
Journal of Medical Genetics,1.62
Autism Research,1.616
Psychiatric Services,1.616
Rhinology,1.615
Therapeutic Advances in Neurological Disorders,1.614
Biologics: Targets and Therapy,1.612
Molecular Diagnosis and Therapy,1.612
International Journal of Sports Physiology and Performance,1.61
Journal of Rural Health,1.609
World Journal of Emergency Surgery,1.607
Current Opinion in Neurology,1.606
Journal of Orthopaedic and Sports Physical Therapy,1.606
Psychiatry Research,1.606
BME Frontiers,1.605
European Journal of Human Genetics,1.603
Food Packaging and Shelf Life,1.603
Developmental Medicine and Child Neurology,1.6
Current Protocols,1.598
Human Genetics,1.597
LGBT Health,1.593
Neuropathology and Applied Neurobiology,1.593
Infectious Diseases of Poverty,1.592
European Archives of Psychiatry and Clinical Neuroscience,1.59
International Journal of Obesity,1.589
BJU International,1.588
Arthritis Research and Therapy,1.587
International Journal of Mental Health Nursing,1.586
International Journal of Neuropsychopharmacology,1.585
Molecules and Cells,1.585
Psychology and Aging,1.585
Virulence,1.585
Human Brain Mapping,1.584
European Urology Open Science,1.579
International Journal of Neural Systems,1.579
Annals of Intensive Care,1.576
Medical sciences,1.576
Medical Care,1.574
Cellular Oncology,1.573
Development and Psychopathology,1.573
Respirology,1.57
Cancer Research Communications,1.569
Human Resources for Health,1.566
NeuroImage: Clinical,1.566
GeroScience,1.564
International Journal of Mental Health Systems,1.563
Journal of Travel Medicine,1.562
European Journal of Neurology,1.561
Human Molecular Genetics,1.56
Current Allergy and Asthma Reports,1.556
Current Neuropharmacology,1.555
Respiratory Research,1.555
Ecotoxicology and Environmental Safety,1.553
Dialogues in Clinical Neuroscience,1.551
Therapeutic Advances in Medical Oncology,1.549
ACM Transactions on Computing for Healthcare,1.548
Stem Cells Translational Medicine,1.547
Translational Stroke Research,1.546
BMJ Open Diabetes Research and Care,1.544
Canadian Journal of Cardiology,1.542
Clinical and Experimental Allergy,1.542
Journal of Neurotrauma,1.542
Microbial Genomics,1.539
Diabetes Research and Clinical Practice,1.537
Policy and Internet,1.537
European Radiology,1.535
JTO Clinical and Research Reports,1.533
Journal of Migration and Health,1.529
Infectious Diseases and Therapy,1.526
Annual Review of Analytical Chemistry,1.525
Journal of Sleep Research,1.525
Nutrition and Diabetes,1.523
Best Practice and Research: Clinical Rheumatology,1.521
Journal of Pathology: Clinical Research,1.521
Medical Clinics of North America,1.521
Bone and Joint Open,1.517
Nicotine and Tobacco Research,1.517
Radiographics,1.516
Clinical Lung Cancer,1.515
Neuroscience Bulletin,1.515
Clinical Research in Cardiology,1.514
Medical Journal of Australia,1.513
European Journal of Vascular and Endovascular Surgery,1.512
Journal of Translational Autoimmunity,1.512
Biological Psychiatry Global Open Science,1.508
Environmental Health: A Global Access Science Source,1.508
Tissue Barriers,1.507
Journal of Adolescence,1.506
European Heart Journal Open,1.505
Cancer Cell International,1.5
Kidney International Reports,1.5
Society and Mental Health,1.498
Child Abuse and Neglect,1.497
Clinical Psychology and Psychotherapy,1.497
Clinics in Chest Medicine,1.497
Emerging Contaminants,1.496
Cancer Drug Resistance,1.495
"Journal of Health Politics, Policy and Law",1.495
European Heart Journal - Digital Health,1.494
Journal of Clinical Psychiatry,1.494
Scandinavian Journal of Medicine and Science in Sports,1.494
Child and Adolescent Psychiatry and Mental Health,1.492
Annals of Behavioral Medicine,1.491
European Journal of Cell Biology,1.491
Public Health Reviews,1.491
Journal of Climate Change and Health,1.49
Palliative Medicine,1.49
Worldviews on Evidence-Based Nursing,1.488
Endocrinology and Metabolism,1.487
Journal of Psychiatric Research,1.487
International Journal of Gynecological Cancer,1.485
International Journal of Drug Policy,1.483
Schizophrenia,1.483
Histopathology,1.481
Medical Decision Making,1.481
Arthritis Care and Research,1.479
Current Osteoporosis Reports,1.477
International Journal of Mental Health and Addiction,1.477
Plant Cell Reports,1.475
Journal of Molecular Medicine,1.473
Annals of Physical and Rehabilitation Medicine,1.472
Chronic Stress,1.472
Clinical and Translational Immunology,1.472
Frontiers in Endocrinology,1.472
Journal of ISAKOS,1.472
Neuro-Oncology Advances,1.472
Sleep Medicine Clinics,1.472
Cancer Biology and Medicine,1.47
European Journal of Ageing,1.47
American Journal of Roentgenology,1.469
Pathologica,1.469
Social Cognitive and Affective Neuroscience,1.469
Radiology: Cardiothoracic Imaging,1.467
Osteoporosis International,1.466
Annals of General Psychiatry,1.465
American Journal of Physiology - Heart and Circulatory Physiology,1.464
Cancers,1.462
Journal of Substance Use and Addiction Treatment,1.461
Journal of Racial and Ethnic Health Disparities,1.46
"Anxiety, Stress and Coping",1.458
Seminars in Liver Disease,1.457
Archives of Toxicology,1.456
Environmental Science: Processes and Impacts,1.456
Health and Place,1.456
Attachment and Human Development,1.455
General Hospital Psychiatry,1.455
European Eating Disorders Review,1.454
Journal of Exposure Science and Environmental Epidemiology,1.454
Psychoneuroendocrinology,1.454
Population Health Metrics,1.453
Nutrition Research Reviews,1.451
Proceedings of the Royal Society B: Biological Sciences,1.45
Psychotherapy,1.45
Seminars in Hematology,1.449
Hematology. American Society of Hematology. Education Program,1.448
JAMA Otolaryngology - Head and Neck Surgery,1.448
Computers in Biology and Medicine,1.447
Neurobiology of Aging,1.447
Academic Medicine,1.446
Medicine and Science in Sports and Exercise,1.442
Open Forum Infectious Diseases,1.441
Diabetic Medicine,1.439
Medical Education,1.439
Journal of Translational Internal Medicine,1.438
Quality of Life Research,1.436
Thrombosis and Haemostasis,1.436
Cancer Research and Treatment,1.434
Pulmonology,1.434
Adversity and Resilience Science,1.432
Archives of Suicide Research,1.432
Suicide and Life-Threatening Behavior,1.432
Antimicrobial Agents and Chemotherapy,1.431
Journal of the American Medical Directors Association,1.43
Journal of Hepato-Biliary-Pancreatic Sciences,1.427
Safety Science,1.427
Headache,1.426
Canadian Journal of Psychiatry,1.425
Journal of Cataract and Refractive Surgery,1.425
Journal of Immunology,1.425
Matrix Biology Plus,1.425
Angle Orthodontist,1.423
Current Heart Failure Reports,1.421
EPMA Journal,1.421
Journal of Ginseng Research,1.419
World Journal of Gastroenterology,1.418
British Journal of Health Psychology,1.415
Lung Cancer: Targets and Therapy,1.415
Autoimmunity Highlights,1.413
